ts,open,high,low,close,volume
1769293800000,2961.37,2962.0,2961.37,2961.73,55.96139
1769294100000,2961.73,2962.91,2961.46,2961.94,38.96573
1769294400000,2961.94,2961.94,2959.0,2959.53,67.47794
1769294700000,2959.53,2962.26,2959.53,2961.38,64.53473
1769295000000,2961.38,2962.45,2959.81,2962.45,165.20291
1769295300000,2962.45,2963.24,2960.47,2963.24,111.7154
1769295600000,2963.24,2964.63,2958.18,2958.41,233.00116
1769295900000,2958.41,2960.06,2956.45,2957.96,212.76646
1769296200000,2957.96,2958.5,2955.84,2958.5,115.42585
1769296500000,2958.5,2958.61,2954.36,2957.4,158.22732
1769296800000,2957.4,2957.54,2956.3,2957.32,67.0059
1769297100000,2957.32,2957.98,2955.64,2957.79,124.11806
1769297400000,2957.79,2957.79,2956.49,2956.49,59.08098
1769297700000,2956.49,2956.49,2955.68,2955.75,54.92319
1769298000000,2955.75,2956.06,2953.36,2954.19,213.06653
1769298300000,2954.19,2955.51,2952.63,2955.22,215.9341
1769298600000,2955.22,2955.22,2953.72,2953.72,63.86425
1769298900000,2953.72,2954.01,2952.55,2953.64,147.75801
1769299200000,2953.64,2955.39,2952.85,2954.16,212.01298
1769299500000,2954.16,2955.94,2954.09,2954.92,84.26115
1769299800000,2954.92,2955.43,2954.38,2955.33,67.92371
1769300100000,2955.33,2956.1,2955.21,2955.46,59.31811
1769300400000,2955.46,2957.76,2954.89,2954.9,127.42102
1769300700000,2954.9,2954.9,2952.55,2954.13,222.88866
1769301000000,2954.13,2956.26,2953.44,2954.74,102.34055
1769301300000,2954.74,2956.62,2954.05,2954.4,141.91572
1769301600000,2954.4,2956.55,2954.39,2956.2,85.37167
1769301900000,2956.2,2956.94,2955.07,2956.74,212.01466
1769302200000,2956.74,2957.66,2956.67,2956.9,65.95217
1769302500000,2956.9,2958.98,2956.9,2958.98,50.87084
1769302800000,2958.98,2960.78,2958.32,2958.35,149.66849
1769303100000,2958.35,2958.69,2956.86,2958.69,54.62605
1769303400000,2958.69,2958.73,2956.43,2957.2,86.52635
1769303700000,2957.2,2958.11,2953.11,2954.42,365.79048
1769304000000,2954.42,2955.11,2954.37,2954.86,47.31515
1769304300000,2954.86,2955.13,2953.21,2953.22,98.03666
1769304600000,2953.22,2956.34,2951.88,2954.61,295.72494
1769304900000,2954.61,2954.85,2950.0,2950.91,387.79668
1769305200000,2950.91,2952.71,2950.58,2951.36,88.87915
1769305500000,2951.36,2955.68,2951.32,2954.97,135.70675
1769305800000,2954.97,2955.08,2954.25,2954.25,43.01713
1769306100000,2954.25,2955.52,2954.14,2955.24,32.18681
